2051	5	10	.0264506	.0020912
2051	10	15	.0264506	.0261962
2051	15	20	.0264506	.008244
2051	20	25	.0264506	.0351004
2051	25	30	.0264506	.0112719
2051	30	35	.0264506	.0368553
2051	35	40	.0264506	.0124831
2051	40	45	.0264506	.045291
2051	45	50	.0264506	.0363905
2051	50	55	.0264506	.0552185
2051	55	60	.0264506	.023131
2051	60	65	.0264506	.0533612
2051	65	70	.0264506	.0404765
2051	70	75	.0264506	.0870416
2051	75	80	.0264506	.0941238
2051	80	85	.0264506	.1580811
2051	85	90	.0264506	.1695734
2051	90	95	.0264506	.3107712
2051	95	200	.0264506	.4329472
2052	0	.083333	.0261557	.1489887
2052	.0833333	1	.0261557	.0307604
2052	1	5	.0261557	.0225789
2052	5	10	.0261557	.001585
2052	10	15	.0261557	.0260035
2052	15	20	.0261557	.006904
2052	20	25	.0261557	.0352124
2052	25	30	.0261557	.0109781
2052	30	35	.0261557	.0373558
2052	35	40	.0261557	.011475
2052	40	45	.0261557	.0441541
2052	45	50	.0261557	.0318701
2052	50	55	.0261557	.0613564
2052	55	60	.0261557	.0201891
2052	60	65	.0261557	.0569939
2052	65	70	.0261557	.0338759
2052	70	75	.0261557	.0914149
2052	75	80	.0261557	.0833442
2052	80	85	.0261557	.1716623
2052	85	90	.0261557	.1547946
2052	90	95	.0261557	.332522
2052	95	200	.0261557	.3971222
2053	0	.083333	.0258608	.1464115
2053	.0833333	1	.0258608	.0303049
2053	1	5	.0258608	.0222708
2053	5	10	.0258608	.0010847
2053	10	15	.0258608	.025925
2053	15	20	.0258608	.0055074
2053	20	25	.0258608	.0352231
2053	25	30	.0258608	.0106174
2053	30	35	.0258608	.0379294
2053	35	40	.0258608	.0105597
2053	40	45	.0258608	.0436963
2053	45	50	.0258608	.0262262
2053	50	55	.0258608	.0676611
2053	55	60	.0258608	.0170381
2053	60	65	.0258608	.0615609
2053	65	70	.0258608	.0265472
2053	70	75	.0258608	.0969795
2053	75	80	.0258608	.0708919
2053	80	85	.0258608	.1861924
2053	85	90	.0258608	.1384638
2053	90	95	.0258608	.3581868
2053	95	200	.0258608	.3593264
2054	0	.083333	.0255659	.1438352
2054	.0833333	1	.0255659	.0298494
2054	1	5	.0255659	.0219627
2054	5	10	.0255659	.0006912
2054	10	15	.0255659	.0257412
2054	15	20	.0255659	.0043641
2054	20	25	.0255659	.0348833
2054	25	30	.0255659	.0103991
2054	30	35	.0255659	.0382972
2054	35	40	.0255659	.010021
2054	40	45	.0255659	.043258
2054	45	50	.0255659	.021128
2054	50	55	.0255659	.0718737
2054	55	60	.0255659	.0156916
2054	60	65	.0255659	.0649714
2054	65	70	.0255659	.021073
2054	70	75	.0255659	.1004707
2054	75	80	.0255659	.0612515
2054	80	85	.0255659	.1956602
2054	85	90	.0255659	.1280575
2054	90	95	.0255659	.3758585
2054	95	200	.0255659	.3342054
2055	0	.083333	.025271	.1412596
2055	.0833333	1	.025271	.029394
2055	1	5	.025271	.0216546
2055	5	10	.025271	.0004674
2055	10	15	.025271	.0253115
2055	15	20	.025271	.0036705
2055	20	25	.025271	.0340494
2055	25	30	.025271	.0104476
2055	30	35	.025271	.0382814
2055	35	40	.025271	.010026
2055	40	45	.025271	.0424137
2055	45	50	.025271	.0176119
2055	50	55	.025271	.0727057
2055	55	60	.025271	.0172515
2055	60	65	.025271	.0659922
2055	65	70	.025271	.018971
2055	70	75	.025271	.0999988
2055	75	80	.025271	.05694
2055	80	85	.025271	.1967834
2055	85	90	.025271	.127558
2055	90	95	.025271	.3787002
2055	95	200	.025271	.3273736
2056	0	.083333	.0250038	.1388964
2056	.0833333	1	.0250038	.0289676
